,Ticket Médio ContaHub,"R$ 93,00","R$ 99,11","R$ 89,70","R$ 95,31","R$ 91,67","R$ 93,08","R$ 84,77","R$ 88,48","R$ 88,32","R$ 86,48","R$ 92,45","R$ 89,58","R$ 91,92","R$ 90,81","R$ 93,21","R$ 88,36","R$ 102,88","R$ 106,43","R$ 98,92","R$ 97,56","R$ 102,45","R$ 106,49","R$ 98,36","R$ 103,47","R$ 103,71","R$ 99,21",,"R$ 93,00",,"R$ 93,03","R$ 87,50","R$ 91,32","R$ 97,88","R$ 101,66","R$ 101,95",,,,,,
,TM Entrada,"R$ 15,50","R$ 0,00","R$ 13,68","R$ 16,00","R$ 16,41","R$ 12,96","R$ 14,75","R$ 15,73","R$ 18,34","R$ 15,72","R$ 16,85","R$ 16,56","R$ 18,01","R$ 17,46","R$ 17,92","R$ 16,68","R$ 15,68","R$ 17,61","R$ 17,57","R$ 19,61","R$ 19,45","R$ 21,94","R$ 21,85","R$ 21,41","R$ 19,03","R$ 21,96",,"R$ 15,50",,"R$ 14,90","R$ 16,55","R$ 17,32","R$ 16,99","R$ 20,73","R$ 20,82",,,,,,
,TM Bar,"R$ 77,50","R$ 99,11","R$ 76,02","R$ 79,31","R$ 75,26","R$ 80,12","R$ 70,02","R$ 72,75","R$ 69,98","R$ 70,75","R$ 75,59","R$ 73,02","R$ 73,91","R$ 73,35","R$ 75,29","R$ 71,68","R$ 87,20","R$ 88,82","R$ 81,35","R$ 77,96","R$ 83,00","R$ 84,54","R$ 76,51","R$ 82,06","R$ 84,69","R$ 77,25",,"R$ 77,50",,"R$ 78,13","R$ 70,95","R$ 74,00","R$ 80,89","R$ 80,93","R$ 81,14",,,,,,
,CMV Limpo %,31%,-,"105,0%","-98,6%","-14,7%","-54,2%","171,5%","24,1%","79,9%","-48,7%","46,9%","34,4%","-3,6%","-12,0%","-1,5%","-2,2%","-2,9%","-3,7%","-5,0%","4,1%","0,5%","-6,8%","13,5%","-1,1%","-0,1%","4,5%",,31%,,"-4,1%","5,8%","0,0%","-7,4%","4,5%","2,1%",,,,,,
,CMV Global Real,27%,-,"19,1%","-20,5%","-3,3%","-2,6%","6,5%","5,2%","14,6%","-10,9%","11,1%","7,8%","-2,7%","-9,0%","-1,1%","-1,7%","-2,3%","-2,9%","-4,0%","3,2%","0,4%","-5,0%","10,0%","-0,8%","-0,1%","3,3%",,27%,,"-3,5%","4,8%","0,0%","-6,1%","3,7%","1,8%",,,,,,
,CMV Teórico,29%,-,"25,4%",-,"28,1%",-,"27,1%","28,1%","28,4%","26,1%","28,4%","27,7%","29,1%","28,8%","32,0%","31,0%","29,2%","28,2%","28,8%","28,7%","30,2%","29,7%","28,4%","28,7%","28,9%","29,1%",,27%,,-,"28,0%","30,8%","28,8%","29,1%",,,,,,,
,CMO%,20%,-,"51,1%","26,0%","24,0%","16,9%","16,3%","28,0%","18,5%","31,3%","19,4%","23,9%","14,9%","26,0%","18,7%","26,4%","28,9%","21,5%","20,5%","16,8%","19,6%","16,5%","18,3%","14,6%","12,6%","12,2%",,23%,,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",,,,,,
,Atração/Faturamento,17%,,,,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",,17%,,"1,1%","1,3%","1,7%","1,9%","1,6%","0,0%",,,,,,
OVT,Retenção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clientes Atendidos,2.645,133,849,1.624,1.997,1.177,597,1.579,2.012,1.490,2.540,1.914,2.788,1.960,2.401,1.794,1.459,1.668,2.036,2.489,2.200,2.294,2.245,2.718,2.949,3.077,,10.000,,5747,9794,10.025,7789,10135,8.663,,,,,,
,Clientes Ativos,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reservas Totais,800,,,,-,-,,,,,788,580,638,521,571,644,760,870,806,771,837,1.044,808,978,839,946,,,,-,1.586,2.692,3.486,3.524,2.712,,,,,,
,Reservas Presentes,650,,,,,,,,,,,,,,,,,,,608,578,650,622,801,703,747,,,,,,,2.738,2.478,2.236,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cockpit Financeiro,META,,,,,,,,,,,,,,,,,,,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,Imposto,-,,,,"R$ 12.606,26","R$ 23.070,23","R$ 16.898,77","R$ 9.745,26","R$ 16.716,66","R$ 9.001,40","R$ 17.001,44","R$ 11.974,91","R$ 19.794,52","R$ 11.884,29","R$ 15.499,12","R$ 11.163,05","R$ 10.318,87","R$ 12.489,68","R$ 13.191,99","R$ 17.190,86","R$ 14.757,43","R$ 17.549,35","R$ 15.359,18","R$ 19.210,87","R$ 21.444,19","R$ 20.426,93",,,,,,,,,,,,,,,
,Comissão,-,"R$ 984,66","R$ 6.249,96","R$ 11.438,86","R$ 13.507,73","R$ 8.533,03","R$ 3.742,14","R$ 10.352,40","R$ 12.746,29","R$ 9.486,45","R$ 13.765,74","R$ 12.479,08","R$ 12.847,81","R$ 9.186,14","R$ 12.725,96","R$ 9.000,30","R$ 9.806,55","R$ 9.233,07","R$ 8.671,56","R$ 11.265,49","R$ 11.327,75","R$ 15.095,09","R$ 10.070,29","R$ 16.090,18","R$ 17.570,84","R$ 16.574,84",,,,,,,,,,,,,,,
,CMV,-,"-R$ 17.237,96","R$ 12.191,16","-R$ 25.623,72","-R$ 4.802,28","-R$ 8.257,99","R$ 15.097,64","R$ 5.998,17","R$ 29.490,53","-R$ 11.415,59","R$ 21.774,60","R$ 10.889,46","-R$ 7.513,01","-R$ 15.311,59","-R$ 2.543,75","-R$ 2.724,98","-R$ 3.430,32","-R$ 5.118,60","-R$ 7.617,92","R$ 7.849,92","R$ 793,95","-R$ 12.621,71","R$ 22.027,26","-R$ 2.270,09","-R$ 175,83","R$ 9.657,42",,,,,,,,,,,,,,,
,CMO,-,,"R$ 32.495,54","R$ 33.300,42","R$ 37.160,73","R$ 49.806,38","R$ 33.991,73","R$ 33.606,63","R$ 38.752,84","R$ 34.786,75","R$ 40.611,29","R$ 34.454,94","R$ 35.689,79","R$ 37.665,02","R$ 35.190,89","R$ 35.854,44","R$ 36.392,49","R$ 32.076,52","R$ 32.422,11","R$ 34.796,96","R$ 34.872,17","R$ 34.949,41","R$ 33.705,35","R$ 33.820,41","R$ 32.511,88","R$ 29.349,51",,,,,,,,,,,,,,,
,PRO LABORE,,,"R$ 6.000,00","R$ 6.000,00","R$ 6.000,00","R$ 6.000,00","R$ 5.419,35","R$ 5.419,35","R$ 5.419,35","R$ 5.419,35","R$ 6.416,67","R$ 6.416,67","R$ 6.416,67","R$ 6.416,67","R$ 6.209,68","R$ 6.209,68","R$ 6.209,68","R$ 6.209,68","R$ 6.209,68","R$ 6.416,67","R$ 6.416,67","R$ 6.416,67","R$ 6.416,67","R$ 6.209,68","R$ 6.209,68","R$ 6.209,68",,,,,,,,,,,,,,,
,Ocupação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adm Fixo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing Fixo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Escritório Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adm e Mkt da Semana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RH+Estorno+Outros Operação,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,
,Materiais,,"R$ 3.488,38","R$ 4.046,42","R$ 3.464,50","R$ 1.471,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,
,Manutenção,,"R$ 1.302,30","R$ 919,15","R$ 406,01","R$ 900,96","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,
,Atrações/Eventos,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,
,Utensílios,,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,
,Consumação (sem sócio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lucro (R$),,,,,,,,,,,,,,,,,,,,,,,,,,,,"R$ 28.000,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicadores de Qualidade,META,,,,,,,,,,,,,,,,,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,Avaliações 5 Google/Trip,75,-,43,74,35,60,10,172,163,53,23,19,29,73,152,87,58,109,129,127,58,96,55,87,70,226,,300,,193,417,142,528,369,,,,,,,
,Média Avaliações Google,"4,8",-,"5,00","4,92","4,29","4,97","4,23","4,92","4,92","4,95","4,63","4,82","4,77","4,90","4,90","4,87","4,69","4,94","4,91","4,93","4,80","4,90","4,90","4,91","4,77","4,92",,"4,8",,"4,83","4,90","4,81","4,91","4,91",,,,,,,
,NPS Geral,70,,,,,,,,,,,,,,,,,,,,,,-,87,90,91,,,,,,,,,,,,,,,
,NPS Ambiente,70,,,,,,,,,,,,,,,,,,,,,,88,86,88,86,,,,,,,,,,,,,,,
,NPS Atendimento,70,,,,,,,,,,,,,,,,,,,,,,94,85,88,80,,,,,,,,,,,,,,,
,NPS Limpeza,70,,,,,,,,,,,,,,,,,,,,,,68,78,81,82,,,,,,,,,,,,,,,
,NPS Música,70,,,,,,,,,,,,,,,,,,,,,,94,85,93,86,,,,,,,,,,,,,,,
,NPS Comida,70,,,,,,,,,,,,,,,,,,,,,,68,71,86,75,,,,,,,,,,,,,,,
,NPS Drink,70,,,,,,,,,,,,,,,,,,,,,,72,79,85,77,,,,,,,,,,,,,,,
,NPS Preço,70,,,,,,,,,,,,,,,,,,,,,,79,44,65,51,,,,,,,,,,,,,,,
,NPS Reservas,70,-,5,"4,92","4,29","4,97","4,23","4,92","4,92","4,95","4,63","4,82",-,-,-,-,-,-,-,-,-,75,83,100,100,78,,70,,-,-,-,-,80,,,,,,,
,NPS Felicidade Equipe,60,-,-,"0,944",-,-,-,"0,7833",-,"50,86",-,"77,3","63,2","64,12",-,76,-,87,70,81,76,75,72,72,79,84,,60,,-,2582%,68,78,76,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cockpit Produtos,META,,,,,,,,,,,,,,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,StockOut Comidas,3%,-,-,"1,6%","1,2%","2,0%","3,7%","3,3%","0,0%","1,8%","0,0%","1,6%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,8%","0,0%",,"3,0%",,-,"4,4%","0,9%","0,2%",,,,,,,,
,StockOut Drinks,3%,-,-,"2,2%","2,2%","2,2%","0,7%","0,7%","1,5%","1,1%","2,6%","4,4%","7,0%","3,7%","0,0%","0,0%","0,0%","0,7%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",,"3,0%",,-,"1,4%","3,5%","0,2%",,,,,,,,
,Stockout Bar,1%,-,-,"0,3%","0,3%","1,6%","1,4%","4,9%","5,2%","4,9%","4,1%","2,2%","6,6%","6,6%","12,6%","4,9%","0,5%","3,3%","3,3%","0,0%","1,1%","2,5%","2,5%","0,0%","6,6%","4,6%",,"1,0%",,-,"4,5%","7,8%","3,4%",,,,,,,,
,% BEBIDAS,,"21,2%","37,6%","46,8%","46,7%","50,2%","40,6%","46,6%","49,0%","46,9%","0,0%","47,9%","71,1%","48,6%","53,6%","46,3%","49,5%","49,0%","53,2%","49,8%","52,7%","55,6%","53,9%","52,6%","58,6%","59,1%",,-,,"45,6%","46,9%",50%,50%,53%,57%,,,,,,
,% DRINKS,,"48,5%","32,9%","30,3%","31,2%","27,9%","34,5%","30,5%","29,8%","29,1%","33,7%","27,6%","0,0%","30,8%","27,1%","30,3%","28,4%","30,3%","27,0%","30,2%","27,8%","27,9%","26,6%","27,7%","27,2%","23,4%",,-,,"30,9%","30,3%",28%,29%,28%,26%,,,,,,
,% COMIDA,,"30,2%","29,5%","22,9%","22,1%","22,0%","24,9%","22,9%","21,3%","24,0%","66,3%","24,5%","28,9%","20,6%","19,3%","23,4%","22,1%","20,7%","19,8%","20,0%","19,4%","16,5%","19,5%","19,7%","14,2%","17,4%",,-,,"23,5%","22,8%",23%,21%,19%,17%,,,,,,
,% HappyHour,-,"1,3%","11,3%","24,5%","26,4%","22,0%","21,7%","18,7%","16,2%","12,5%","0,0%","22,3%","5,2%","28,0%","27,1%","28,0%","22,0%","23,2%","20,8%","24,2%","20,7%","14,7%","15,0%","11,4%","10,0%","12,2%",,-,,"22,1%","16,5%",24%,25%,18%,11%,,,,,,
,Qtde Itens Bar,,,673,1.531,1.622,885,572,1.215,1.437,1.121,5,1.359,0,1.245,1.367,1.181,1.216,1.191,1.122,1.501,1.357,1.449,1.056,1.721,1.725,1.490,,-,,4.872,4.350,3.024,5.644,5.532,4.785,,,,,,
,Tempo Saída Bar,"3,0",,,"4,4","4,4","3,1","2,8","2,8","3,3","2,5","0,2","2,2",,"2,2","2,5","2,7","2,1","2,2","2,1","2,7","2,0","2,0","1,9","6,5","3,4","6,0",,4,,"4,1","2,9","2,3","2,3","2,2","5,4",,,,,,
,Qtde Itens Cozinha,,,630,945,934,720,542,676,840,736,45,787,4,577,696,589,657,593,551,687,642,714,601,910,706,784,,-,,3.134,2.992,1.692,2.743,2.830,2.278,,,,,,
,Tempo Saída Cozinha,"10,0",,,"6,7","6,5","6,9","7,4","6,4","6,6","7,6","6,5","7,1","10,1","7,5","6,9","7,2","7,6","7,4","7,4","7,1","7,4","7,2","7,1","9,2","10,6","11,6",,12,,"6,7","6,9","7,1","7,4","7,3","10,5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cockpit Vendas,META,,,,,,,,,,,,,,,,,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,% Faturamento até 19h,15%,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"11,2%","11,9%","7,8%","8,2%","13,5%","11,2%","12,0%","12,3%","10,5%","12,5%","10,8%","11,9%","9,7%","14,3%","9,8%","10,3%",,-,,10%,11%,10%,12%,11%,12%,,,,,,
,Venda Balcão,,,,,"R$ 674,40","R$ 246,11","R$ 102,70","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.053,82","R$ 1.359,77","R$ 2.699,05","R$ 1.496,90","R$ 7.554,64","R$ 4.308,77","R$ 959,45","R$ 232,45","R$ 197,05","R$ 357,69","R$ 364,91",,-,,"R$ 1.333,46","R$ 102,70","R$ 0,00","R$ 8.342,75","R$ 13.359,70","R$ 882,05",,,,,,
,Couvert / Atrações,112%,-,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,112%,,2232%,2454%,1694%,1430%,1490%,1396%,,,,,,
,QUI+SÁB+DOM,141.000/91.000,,-,-,-,-,-,"R$ 54.241,03","R$ 126.452,24","R$ 45.875,15","R$ 132.266,16","R$ 69.639,67","R$ 227.193,64","R$ 96.950,29","R$ 114.606,73","R$ 74.846,62","R$ 59.139,36","R$ 100.600,52","R$ 99.690,38","R$ 126.814,18","R$ 113.701,78","R$ 89.606,44","R$ 134.587,81","R$ 129.479,47","R$ 167.181,85","R$ 149.805,28",,,,-,-,-,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cockpit Marketing,META,,,,,,,,,,,,,,,,,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,,,,,,,,,,,,,,,
,[O] Nº de Posts,,,,,,,,,,,,,,,2,3,2,2,5,2,4,3,5,2,2,2,,,,8,14,13,13,11,,,,,,,
,[O] Alcance,,,,,,,,,,,,,,,20.848,29.914,15.390,19.958,35.845,15.078,32.604,18.492,38.461,17.823,11.488,10.956,,,,140.498,139.185,138.831,112.049,111.648,,,,,,,
,[O] Interação,,,,,,,,,,,,,,,1.083,2.124,918,1.171,1.404,958,2.206,787,1.697,1.320,341,650,,,,10.157,5.345,8.187,6.302,5.455,,,,,,,
,[O] Compartilhamento,,,,,,,,,,,,,,,271,609,261,503,288,153,443,228,416,256,118,202,,,,3.299,1.503,2.739,1.885,954,,,,,,,
,[O] Engajamento,,,,,,,,,,,,,,,"5,2%","7,1%","6,0%","5,9%","3,9%","6,4%","6,8%","4,3%","4,4%","7,4%","3,0%","5,9%",,,,"7,2%","3,8%","5,9%","5,6%","4,9%",,,,,,,
,[O] Nº Stories,,,,,,,,,,,,,,,29,26,49,23,70,81,74,77,46,56,59,71,,,,187,250,230,171,301,,,,,,,
,[O] Visu Stories,,,,,,,,,,,,,,,57.216,40.219,67.777,38.755,88.203,122.055,106.153,115.077,65.623,78.287,96.596,113.473,,,,-,-,111.441,249.088,450.659,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[M] Valor Investido,,,,,,,,,,,,,,,"R$ 2.736,49","R$ 2.373,61","R$ 3.007,54","R$ 2.075,61","R$ 2.114,48","R$ 3.017,51","R$ 3.051,62","R$ 2.044,65","R$ 3.001,76","R$ 2.329,43","R$ 2.953,36","R$ 2.660,44",,,,"R$ 10.613,00","R$ 10.629,01","R$ 12.376,70","R$ 11.322,99","R$ 11.460,70",,,,,,,
,[M] Alcance,,,,,,,,,,,,,,,312.069,289.953,333.013,216.013,218.562,322.095,316.758,232.227,233.585,168.873,176.549,167.827,,,,518.720,614.549,653.886,647.709,609.604,,,,,,,
,[M] Frequencia,,,,,,,,,,,,,,,"2,7","2,5","2,3","2,2","2,3","2,5","2,4","2,2","2,2","2,1","2,2","2,2",,,,"3,2","3,8","5,9","4,7","4,3",,,,,,,
,[M] CPM (Custo por Visu),,,,,,,,,,,,,,,"R$ 3,25","R$ 3,23","R$ 3,89","R$ 4,35","R$ 4,20","R$ 3,80","R$ 4,07","R$ 4,08","R$ 5,98","R$ 6,52","R$ 7,50","R$ 7,37",,,,"R$ 6,42","R$ 4,58","R$ 3,19","R$ 3,74","R$ 4,36",,,,,,,
,[M] Cliques,,,,,,,,,,,,,,,2.507,2.103,1.355,1.833,1.939,1.996,2.132,1.383,1.753,2.490,2.429,3.068,,,,26.202,17.062,9.771,9.179,7.667,,,,,,,
,[M] CTR (Taxa de Clique),,,,,,,,,,,,,,,"0,30%","0,29%","0,18%","0,38%","0,39%","0,25%","0,28%","0,28%","0,35%","0,70%","0,62%","0,85%",,,,"1,59%","0,74%","0,25%","0,30%","0,29%",,,,,,,
,[M] Custo por Clique,,,,,,,,,,,,,,,"R$ 1,09","R$ 1,13","R$ 2,22","R$ 1,13","R$ 1,09","R$ 1,51","R$ 1,43","R$ 1,48","R$ 1,71","R$ 0,94","R$ 1,22","R$ 0,87",,,,"R$ 0,41","R$ 0,62","R$ 1,27","R$ 1,23","R$ 1,49",,,,,,,
,[M] Conversas Iniciadas,,,,,,,,,,,,,,,,41,42,51,62,55,65,58,46,66,70,68,,,,69,274,225,224,242,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
